,Dates,Temperature_av,Wind_speed,Precipitation,Pressure,Heat_index
468,2016-04-13,19,8,0.1,1023,22
469,2016-04-14,19,14,0.1,1015,25
470,2016-04-15,19,15,0.1,1016,24
471,2016-04-16,19,13,0.4,1018,24
472,2016-04-17,19,15,0.5,1020,23
473,2016-04-18,19,13,0.9,1019,24
474,2016-04-19,19,17,0.8,1019,22
475,2016-04-20,18,14,1.4,1019,23
476,2016-04-21,21,12,0.0,1020,27
477,2016-04-22,20,25,0.2,1018,25
478,2016-04-23,18,27,0.2,1024,19
479,2016-04-24,18,18,0.1,1028,24
480,2016-04-25,18,12,0.0,1029,25
481,2016-04-26,19,8,0.0,1028,26
482,2016-04-27,19,12,0.0,1024,25
483,2016-04-28,20,9,0.0,1022,26
484,2016-04-29,20,13,0.0,1019,26
485,2016-04-30,20,13,0.5,1017,24
486,2016-05-01,21,22,0.0,1011,27
487,2016-05-02,17,10,0.0,1014,24
488,2016-05-03,18,15,0.0,1009,24
489,2016-05-04,18,8,0.0,1014,25
490,2016-05-05,18,6,0.0,1018,25
491,2016-05-06,18,4,0.0,1017,26
492,2016-05-07,18,7,0.0,1019,26
493,2016-05-08,19,14,0.0,1015,25
494,2016-05-09,19,18,1.6,1007,19
495,2016-05-10,19,31,0.0,1006,24
496,2016-05-11,16,18,0.0,1013,20
497,2016-05-12,17,24,0.0,1014,24
498,2016-05-13,17,9,0.0,1020,25
499,2016-05-14,16,4,0.0,1021,26
500,2016-05-15,18,12,0.0,1015,25
501,2016-05-16,18,9,0.0,1019,25
502,2016-05-17,19,10,0.0,1015,26
503,2016-05-18,16,7,0.0,1016,21
504,2016-05-19,17,13,0.5,1020,20
505,2016-05-20,16,11,0.1,1019,21
506,2016-05-21,16,16,0.0,1019,21
507,2016-05-22,18,9,0.0,1021,25
508,2016-05-23,19,23,0.0,1012,25
509,2016-05-24,15,18,0.0,1015,19
510,2016-05-25,14,7,0.0,1015,19
511,2016-05-26,16,20,0.1,1004,17
512,2016-05-27,17,32,0.0,1002,17
513,2016-05-28,12,18,0.0,1007,13
514,2016-05-29,12,15,0.0,1017,17
515,2016-05-30,12,13,0.0,1024,17
516,2016-05-31,14,13,2.3,1027,17
517,2016-06-01,15,19,0.4,1023,17
